addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title,zipcode
서울특별시 송파구 새말로 114 (문정동),1층,1,,A05,A0502,A05020100,3485244,39,20250400000000.0,http://tong.visitkorea.or.kr/cms/resource/39/3485239_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/39/3485239_image3_1.jpg,Type3,127.1266432,37.48268054,6.0,20250400000000.0,18,,푼주,5810
서울특별시 성동구 무학로6길 22 (도선동),1층,1,,A05,A0502,A05020900,3484142,39,20250300000000.0,http://tong.visitkorea.or.kr/cms/resource/41/3484141_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/41/3484141_image3_1.jpg,Type3,127.0325273,37.56507483,6.0,20250300000000.0,16,,레이지 유스,4707
서울특별시 강서구 마곡중앙로 161-8 (마곡동),"두산더랜드파크B동 302호, 303호",1,,A05,A0502,A05020700,3479357,39,20250200000000.0,http://tong.visitkorea.or.kr/cms/resource/53/3479353_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/53/3479353_image3_1.jpg,Type3,126.8271264,37.56898181,6.0,20250300000000.0,4,,105405 마곡,7788
서울특별시 성북구 동소문로20다길 30 (동선동1가),,1,,A05,A0502,A05020900,3461606,39,20241200000000.0,http://tong.visitkorea.or.kr/cms/resource/94/3461594_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/94/3461594_image3_1.jpg,Type3,127.0183056,37.59208255,6.0,20241200000000.0,17,,서울 본크레페,2845
서울특별시 강북구 도봉로68길 36 (미아동),,1,,A05,A0502,A05020900,3458629,39,20241200000000.0,http://tong.visitkorea.or.kr/cms/resource/00/3458600_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/00/3458600_image3_1.jpg,Type1,127.0264454,37.63139479,6.0,20241200000000.0,3,,리코,1132
서울특별시 송파구 올림픽로 300 (신천동),,1,,A05,A0502,A05020900,3458576,39,20241200000000.0,http://tong.visitkorea.or.kr/cms/resource/76/3458476_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/76/3458476_image3_1.jpg,Type1,127.104075,37.51416537,6.0,20241200000000.0,18,,커넥트투,5551
서울특별시 영등포구 선유로 314 (당산동),,1,,A05,A0502,A05020900,3458259,39,20241200000000.0,http://tong.visitkorea.or.kr/cms/resource/09/3456009_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/09/3456009_image3_1.jpg,Type1,126.9013094,37.53996706,6.0,20241200000000.0,20,,영등포구 카페진정성,7231
서울특별시 성북구 동소문로20나길 24 (동선동1가),,1,,A05,A0502,A05020200,3458183,39,20241200000000.0,http://tong.visitkorea.or.kr/cms/resource/73/3455473_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/73/3455473_image3_1.jpg,Type1,127.018025,37.59234085,6.0,20241200000000.0,17,,쵸이양식,2845
서울특별시 성북구 동소문로20다길 2 (동선동1가),,1,,A05,A0502,A05020100,3458178,39,20241200000000.0,http://tong.visitkorea.or.kr/cms/resource/54/3455454_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/54/3455454_image3_1.jpg,Type1,127.0168918,37.59157425,6.0,20241200000000.0,17,,샤브옥,2845
서울특별시 중구 만리재로 211 (만리동1가),11층 1호,1,,A05,A0502,A05020900,3458089,39,20241200000000.0,http://tong.visitkorea.or.kr/cms/resource/06/3455306_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/06/3455306_image3_1.jpg,Type1,126.968175,37.5563608,6.0,20241200000000.0,24,,서울로PH,4508
서울특별시 노원구 화랑로 608 (공릉동),,1,,A05,A0502,A05020900,3457913,39,20241200000000.0,http://tong.visitkorea.or.kr/cms/resource/87/3455287_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/87/3455287_image3_1.JPG,Type1,127.0931062,37.62450513,6.0,20241200000000.0,9,,기차가 있는 풍경,1802
서울특별시 구로구 구일로10길 27 (구로동),,1,,A05,A0502,A05020900,3457554,39,20241200000000.0,http://tong.visitkorea.or.kr/cms/resource/59/3453759_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/59/3453759_image3_1.jpg,Type1,126.8732576,37.49559116,6.0,20241200000000.0,7,,비마이피스,8323
서울특별시 구로구 서해안로 2134 (항동),9로 평상 (건물 전체),1,,A05,A0502,A05020900,3457039,39,20241200000000.0,http://tong.visitkorea.or.kr/cms/resource/61/3454861_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/61/3454861_image3_1.JPG,Type1,126.8260901,37.48221132,6.0,20241200000000.0,7,,9로평상,8368
서울특별시 송파구 올림픽로 342 (방이동),"아울타워 1, 2층",1,,A05,A0502,A05020900,3454540,39,20241200000000.0,http://tong.visitkorea.or.kr/cms/resource/26/3454626_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/26/3454626_image3_1.jpg,Type1,127.1082912,37.51572915,6.0,20241200000000.0,18,,앙떼띠 카페,5542
서울특별시 마포구 동교로18길 13 (서교동),,1,,A05,A0502,A05020900,3453656,39,20241200000000.0,http://tong.visitkorea.or.kr/cms/resource/57/3453557_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/57/3453557_image3_1.JPG,Type1,126.9171325,37.55461009,6.0,20241200000000.0,13,,포포브레드,4030
서울특별시 마포구 월드컵북로 402 (상암동),,1,,A05,A0502,A05020700,3453614,39,20241200000000.0,http://tong.visitkorea.or.kr/cms/resource/18/3453518_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/18/3453518_image3_1.JPG,Type1,126.8890566,37.58019828,6.0,20241200000000.0,13,,대한제빵소,3925
서울특별시 마포구 월드컵북로 402 (상암동),"103호, 104호",1,,A05,A0502,A05020900,3452628,39,20241200000000.0,http://tong.visitkorea.or.kr/cms/resource/07/3452307_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/07/3452307_image3_1.JPG,Type1,126.8890566,37.58019828,6.0,20241200000000.0,13,,하밀베이글,3925
서울특별시 강서구 마곡중앙로 136 (마곡동),( LG아트센터 서울 및 LG디스커버리랩 서울) 2층,1,,A05,A0502,A05020900,3452316,39,20241200000000.0,http://tong.visitkorea.or.kr/cms/resource/22/3452222_image2_1.JPEG,http://tong.visitkorea.or.kr/cms/resource/22/3452222_image3_1.JPEG,Type1,126.829443,37.56534061,6.0,20241200000000.0,4,,라코펠라,7789
서울특별시 은평구 녹번로1길 13 (녹번동),1층,1,,A05,A0502,A05020900,3450526,39,20241200000000.0,http://tong.visitkorea.or.kr/cms/resource/38/3450438_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/38/3450438_image3_1.jpg,Type1,126.9266024,37.60479331,6.0,20241200000000.0,22,070-4659-6570,카페우리,3380
서울특별시 은평구 불광천길 334 (응암동),1층,1,,A05,A0502,A05020400,3450272,39,20241200000000.0,http://tong.visitkorea.or.kr/cms/resource/68/3449868_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/68/3449868_image3_1.jpg,Type1,126.9140818,37.58902825,6.0,20241200000000.0,22,507-1407-7843,차이몬스터,3484
서울특별시 성북구 보문로34길 87 (동선동3가),(동선동3가) 102호,1,,A05,A0502,A05020300,3449734,39,20241200000000.0,http://tong.visitkorea.or.kr/cms/resource/75/3449675_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/75/3449675_image3_1.jpg,Type1,127.0201915,37.59151876,6.0,20241200000000.0,17,,오롯이,2844
"서울특별시 강서구 공항대로 103 (마곡동, 마곡 엠밸리 9단지)",판매시설4동 1층 104호,1,,A05,A0502,A05020900,3448960,39,20241200000000.0,http://tong.visitkorea.or.kr/cms/resource/02/3448802_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/02/3448802_image3_1.JPG,Type1,126.8179997,37.56272126,6.0,20241200000000.0,4,,카페솔라,7600
서울특별시 용산구 한강대로23길 55 (한강로3가),테이스티파크 4층,1,,A05,A0502,A05020100,3446973,39,20241200000000.0,http://tong.visitkorea.or.kr/cms/resource/32/3446832_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/32/3446832_image3_1.jpg,Type1,126.9647566,37.52982493,6.0,20250300000000.0,21,02-2012-0422,장독대김치찜김치찌개_용산점,4377
서울특별시 용산구 한강대로23길 55 (한강로3가),더 센터5층,1,,A05,A0502,A05020900,3446770,39,20241200000000.0,http://tong.visitkorea.or.kr/cms/resource/60/3446560_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/60/3446560_image3_1.jpg,Type1,126.9647566,37.52982493,6.0,20241200000000.0,21,02-2012-2189,고카페 용산아이파크몰점,4377
서울특별시 성북구 장월로1마길 5 (하월곡동),,1,,A05,A0502,A05020900,3446628,39,20241200000000.0,http://tong.visitkorea.or.kr/cms/resource/10/3446610_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/10/3446610_image3_1.jpg,Type1,127.0426891,37.60466486,6.0,20241200000000.0,17,,카페어바웃,2748
서울특별시 종로구 북촌로 45 (가회동),,1,,A05,A0502,A05020900,3446417,39,20241200000000.0,http://tong.visitkorea.or.kr/cms/resource/84/3446384_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/84/3446384_image3_1.JPG,Type1,126.9845867,37.58106656,6.0,20250300000000.0,23,,오설록 티하우스 북촌점,3055
"서울특별시 성북구 길음로 11 (길음동, 길음역롯데캐슬트윈골드아파트)",롯데캐슬 골드 트윈상가 지하1층,1,,A05,A0502,A05020400,3446219,39,20241200000000.0,,,,127.0234881,37.60385349,6.0,20241200000000.0,17,,더웍,2722
서울특별시 은평구 연서로48길 31 (진관동),1층,1,,A05,A0502,A05020100,3446122,39,20241200000000.0,http://tong.visitkorea.or.kr/cms/resource/66/3446066_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/66/3446066_image3_1.JPG,Type1,126.9383282,37.63809521,6.0,20250300000000.0,22,02-359-2223,팥동동,3308
서울특별시 성북구 동소문로22길 57-4 (동선동2가),2층,1,,A05,A0502,A05020900,3445716,39,20241200000000.0,http://tong.visitkorea.or.kr/cms/resource/61/3445661_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/61/3445661_image3_1.jpg,Type1,127.01885,37.59057995,6.0,20241200000000.0,17,,카페 원오프,2849
서울특별시 동작구 강남초등길 24 (상도1동),,1,,A05,A0502,A05020400,3444919,39,20241200000000.0,http://tong.visitkorea.or.kr/cms/resource/70/3444670_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/70/3444670_image3_1.jpg,Type1,126.9519863,37.50517757,6.0,20241200000000.0,12,,채홍,6912
서울특별시 강북구 4.19로2길 1-2 (수유동),1층,1,,A05,A0502,A05020100,3444738,39,20241200000000.0,http://tong.visitkorea.or.kr/cms/resource/83/3444283_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/83/3444283_image3_1.jpg,Type1,127.0126739,37.64819537,6.0,20241200000000.0,3,,밀콩제면소,1011
서울특별시 성동구 서울숲2길 12-7 (성수동1가),,1,,A05,A0502,A05020900,3444690,39,20241200000000.0,http://tong.visitkorea.or.kr/cms/resource/33/3444633_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/33/3444633_image3_1.jpg,Type1,127.0398882,37.54714371,6.0,20241200000000.0,16,,플래드카페 서울숲,4768
서울특별시 용산구 소월로 109 (후암동),1층 구내식당,1,,A05,A0502,A05020100,3444607,39,20241200000000.0,http://tong.visitkorea.or.kr/cms/resource/49/3444449_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/49/3444449_image3_1.png,Type1,126.9813656,37.55245316,6.0,20241200000000.0,21,02-733-3674,남산도서관 구내식당,4340
서울특별시 강서구 공항대로 247 (마곡동),,1,,A05,A0502,A05020100,3444476,39,20241200000000.0,http://tong.visitkorea.or.kr/cms/resource/53/3444453_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/53/3444453_image3_1.JPG,Type1,126.8352537,37.55936641,6.0,20241200000000.0,4,,오늘식탁,7803
서울특별시 은평구 진관2로 19 (진관동),,1,,A05,A0502,A05020400,3444371,39,20241200000000.0,http://tong.visitkorea.or.kr/cms/resource/68/3444168_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/68/3444168_image3_1.JPG,Type1,126.9195995,37.63490635,6.0,20241200000000.0,22,,이얼싼,3306
서울특별시 관악구 난곡로10길 10 (신림동),,1,,A05,A0502,A05020900,3444152,39,20241200000000.0,http://tong.visitkorea.or.kr/cms/resource/30/3444230_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/30/3444230_image3_1.jpg,Type1,126.9201597,37.46530385,6.0,20241200000000.0,5,,카페 아래로,8860
서울특별시 은평구 진관2로 15-8 (진관동),,1,,A05,A0502,A05020900,3443357,39,20241200000000.0,http://tong.visitkorea.or.kr/cms/resource/17/3443317_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/17/3443317_image3_1.JPG,Type1,126.9195744,37.63544795,6.0,20241200000000.0,22,,필즈커피 FILLZ COFFEE,3306
서울특별시 강서구 공항대로 219 (마곡동),3층 301호,1,,A05,A0502,A05020900,3443228,39,20241200000000.0,http://tong.visitkorea.or.kr/cms/resource/92/3442892_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/92/3442892_image3_1.JPG,Type1,126.8320235,37.55968853,6.0,20241200000000.0,4,,벤의 서재,7802
서울특별시 마포구 월드컵북로54길 17 (상암동),지하 1층 B-132A 도락,1,,A05,A0502,A05020100,3443159,39,20241200000000.0,http://tong.visitkorea.or.kr/cms/resource/61/3442861_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/61/3442861_image3_1.JPG,Type1,126.8885621,37.58137869,6.0,20241200000000.0,13,,도락,3924
서울특별시 용산구 한강대로23길 55 (한강로3가),4층,1,,A05,A0502,A05020900,3443017,39,20241200000000.0,http://tong.visitkorea.or.kr/cms/resource/40/3443040_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/40/3443040_image3_1.jpg,Type1,126.9647566,37.52982493,6.0,20250300000000.0,21,02-2012-0434,식물학 아이파크몰점,4377
서울특별시 은평구 연서로50길 8 (진관동),,1,,A05,A0502,A05020900,3442723,39,20241200000000.0,http://tong.visitkorea.or.kr/cms/resource/47/3443247_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/47/3443247_image3_1.JPG,Type1,126.9380226,37.6403866,6.0,20241200000000.0,22,,꿈콩카페,3308
"서울특별시 구로구 경인로 643 (신도림동, 신도림2차동아아파트)",신도림2차 동아아파트 205가동  상가 1층 116호,1,,A05,A0502,A05020100,3441589,39,20241200000000.0,http://tong.visitkorea.or.kr/cms/resource/82/3441582_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/82/3441582_image3_1.jpg,Type3,126.886556,37.50818994,6.0,20241200000000.0,7,,팔각도 본점,8208
서울특별시 종로구 수표로28길 33-5 (익선동),,1,,A05,A0502,A05020900,3434068,39,20241200000000.0,,,,126.9901559,37.57341477,6.0,20241200000000.0,23,,낙원역,3133
서울특별시 용산구 후암동,358-144,1,,A05,A0502,A05020900,3417988,39,20241100000000.0,,,,126.9835155,37.54945354,6.0,20250300000000.0,21,,콤포트,4328
서울특별시 동대문구 망우로 22 (휘경동),,1,,A05,A0502,A05020900,3416133,39,20241100000000.0,http://tong.visitkorea.or.kr/cms/resource/08/3415308_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/08/3415308_image3_1.jpg,Type3,127.0560911,37.5880337,6.0,20250300000000.0,11,,미드나잇 롤러코스터 클럽,2494
서울특별시 관악구 남부순환로247길 23 (봉천동),,1,,A05,A0502,A05020900,3415204,39,20241100000000.0,http://tong.visitkorea.or.kr/cms/resource/09/3415209_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/09/3415209_image3_1.jpg,Type3,126.9668468,37.4771672,6.0,20250300000000.0,5,,페어필드커피,8801
서울특별시 서초구 올림픽대로 2085-14 (반포동),세빛섬 내 가빛섬 1층,1,,A05,A0502,A05020900,3410623,39,20241100000000.0,http://tong.visitkorea.or.kr/cms/resource/95/3409795_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/95/3409795_image3_1.jpg,Type3,126.9965765,37.51230254,6.0,20250300000000.0,15,,카페 돌체,6500
서울특별시 서초구 올림픽대로 2085-14 (반포동),세빛섬 내 채빛섬 2층,1,,A05,A0502,A05020700,3410603,39,20241100000000.0,http://tong.visitkorea.or.kr/cms/resource/67/3409767_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/67/3409767_image3_1.jpg,Type3,126.9965765,37.51230254,6.0,20250300000000.0,15,,채빛퀴진,6500
서울특별시 마포구 잔다리로6길 20-9 (서교동),"B1층, 1층",1,,A05,A0502,A05020900,3397897,39,20241000000000.0,,,,126.9206711,37.55193268,6.0,20250300000000.0,13,,더블유오앤,4042
서울특별시 종로구 자하문로 43 (통인동),,1,,A05,A0502,A05020900,3396961,39,20241000000000.0,http://tong.visitkorea.or.kr/cms/resource/47/3396747_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/47/3396747_image3_1.jpg,Type3,126.9710963,37.57998588,6.0,20241100000000.0,23,,이도림블로트,3036
"서울특별시 양천구 오목로50길 23 (신정동, 문창오피스텔)",104호,1,,A05,A0502,A05020100,3388482,39,20241000000000.0,http://tong.visitkorea.or.kr/cms/resource/32/3388432_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/32/3388432_image3_1.jpg,Type3,126.8643743,37.52400715,6.0,20250300000000.0,19,,부빔,8023
서울특별시 마포구 성미산로23길 44 (연남동),,1,,A05,A0502,A05020900,3373019,39,20240900000000.0,,,,126.9206097,37.56533113,6.0,20250300000000.0,13,,벌스가든,3979
서울특별시 용산구 한강대로 262 (남영동),,1,,A05,A0502,A05020900,3359119,39,20240900000000.0,,,,126.9732139,37.5417237,6.0,20250300000000.0,21,,고라니커피클럽,4352
